########## CURVA DE EXCITACAO - BOBINA GIRANTE ##########

### Dados de Configura��o ###
arquivo                        	C:\Users\labimas\Desktop\Q14-001\Bobina Principal e Auxiliar\50 A\Q14-001_Q_BOB_-0010A_161013_110307.dat
data                           	13/10/2016
hora                           	11:03:07
temperatura_ima(C)             	23.1
ganho_integrador               	100
nr_pontos_integracao           	144
velocidade(rps)                	1.0
aceleracao(rps^2)              	0.5
nr_coletas                     	19
nr_voltas                      	10
intervalo_analise              	6-23
sentido_de_rotacao             	Horario
corrente_alim_principal_avg(A)	+50
corrente_alim_principal_std(A)	+0.000000e+00
corrente_alim_secundaria_avg(A) -1.000025e+01
corrente_alim_secundaria_std(A) +3.800503e-05

### Dados da Bobina Girante ###
nome_bobina_girante            	Anel_Bobina_Radial_28-09-2016_Quadrupolo_Q20
tipo_bobina_girante            	Bobina Radial
tipo_medicao                   	N_Bucked
pulso_start_coleta             	329683
n_espiras_bobina_principal     	9
raio_interno_bobina_princip(m) 	0
raio_externo_bobina_princip(m) 	0.01296
n_espiras_bobina_bucked        	0
raio_interno_bobina_bucked(m)  	0
raio_externo_bobina_bucked(m)  	0

### Observa��es ###
observacoes                    	Q14-001; 0�; Centro; Bobina Principal: 50 A; Bobina Auxiliar: -10 a 10 A



##### Dados de Leitura #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angulo(rad)  	std_angulo(rad)  	avg_Nn/NnIma@12.0mm	std_Nn/NnIma@12.0mm	avg_Sn/NnIma@12.0mm	std_Sn/NnIma@12.0mm
1   	  +6.318220e-07   	  +8.797856e-07   	  -5.608887e-06   	  +1.170419e-06   	  +5.644361e-06   	  +1.177092e-06   	  +0.000000e+00   	  +0.000000e+00   	  +4.006693e-05   	  +5.579152e-05   	  -3.556870e-04   	  +7.422202e-05
2   	  +1.314097e+00   	  +3.533536e-05   	  +2.840459e-05   	  +7.715983e-05   	  +1.314097e+00   	  +3.533471e-05   	  +1.080779e-05   	  +2.785208e-05   	  +1.000000e+00   	  +2.688946e-05   	  +2.161529e-05   	  +5.871700e-05
3   	  +2.395239e-02   	  +4.654316e-03   	  +9.861819e-02   	  +4.801198e-03   	  +1.014853e-01   	  +5.231967e-03   	  +0.000000e+00   	  +0.000000e+00   	  +2.187271e-04   	  +4.250203e-05   	  +9.005562e-04   	  +4.384332e-05
4   	  +4.452585e-01   	  +2.727426e-01   	  +5.767275e-01   	  +3.896810e-01   	  +7.286081e-01   	  +2.680404e-01   	  +0.000000e+00   	  +0.000000e+00   	  +4.879185e-05   	  +2.988739e-05   	  +6.319835e-05   	  +4.270161e-05
5   	  +7.723467e+01   	  +2.371427e+01   	  +4.378816e+01   	  +2.640804e+01   	  +8.878400e+01   	  +3.010821e+01   	  +0.000000e+00   	  +0.000000e+00   	  +1.015614e-04   	  +3.118359e-05   	  +5.758018e-05   	  +3.472582e-05
6   	  -1.903803e+04   	  +1.812020e+03   	  +2.982934e+03   	  +2.536168e+03   	  +1.927030e+04   	  +1.740070e+03   	  +0.000000e+00   	  +0.000000e+00   	  -3.004136e-04   	  +2.859306e-05   	  +4.706968e-05   	  +4.001987e-05
7   	  +1.915639e+05   	  +1.297614e+05   	  +1.383582e+05   	  +2.153664e+05   	  +2.363043e+05   	  +1.296832e+05   	  +0.000000e+00   	  +0.000000e+00   	  +3.627375e-05   	  +2.457108e-05   	  +2.619895e-05   	  +4.078090e-05
8   	  -5.514171e+06   	  +1.549192e+07   	  +8.646014e+06   	  +2.113940e+07   	  +1.025474e+07   	  +1.085684e+07   	  +0.000000e+00   	  +0.000000e+00   	  -1.252969e-05   	  +3.520184e-05   	  +1.964608e-05   	  +4.803444e-05
9   	  -3.209266e+08   	  +2.137899e+09   	  -7.000587e+08   	  +1.093404e+09   	  +7.701143e+08   	  +1.167918e+09   	  +0.000000e+00   	  +0.000000e+00   	  -8.750784e-06   	  +5.829461e-05   	  -1.908867e-05   	  +2.981412e-05
10  	  +4.790258e+12   	  +1.533929e+11   	  +9.669187e+10   	  +1.181548e+11   	  +4.791234e+12   	  +1.529301e+11   	  +0.000000e+00   	  +0.000000e+00   	  +1.567406e-03   	  +5.019122e-05   	  +3.163825e-05   	  +3.866107e-05
11  	  +2.026308e+11   	  +1.107872e+13   	  +6.518772e+12   	  +1.209107e+13   	  +6.521920e+12   	  +6.140469e+12   	  +0.000000e+00   	  +0.000000e+00   	  +7.956266e-07   	  +4.350039e-05   	  +2.559585e-05   	  +4.747539e-05
12  	  +2.159753e+14   	  +4.733586e+14   	  +1.441788e+14   	  +1.139183e+15   	  +2.596784e+14   	  +8.381294e+14   	  +0.000000e+00   	  +0.000000e+00   	  +1.017628e-05   	  +2.230362e-05   	  +6.793389e-06   	  +5.367578e-05
13  	  -1.229377e+16   	  +5.323798e+16   	  +2.381733e+16   	  +8.307975e+16   	  +2.680302e+16   	  +4.705285e+16   	  +0.000000e+00   	  +0.000000e+00   	  -6.951063e-06   	  +3.010148e-05   	  +1.346664e-05   	  +4.697442e-05
14  	  -1.021850e+20   	  +6.356253e+18   	  +6.882450e+18   	  +6.983380e+18   	  +1.024166e+20   	  +6.390040e+18   	  +0.000000e+00   	  +0.000000e+00   	  -6.933218e-04   	  +4.312694e-05   	  +4.669717e-05   	  +4.738198e-05
15  	  +4.662277e+18   	  +4.201175e+20   	  +2.368700e+20   	  +6.276775e+20   	  +2.369159e+20   	  +2.277547e+20   	  +0.000000e+00   	  +0.000000e+00   	  +3.796006e-07   	  +3.420578e-05   	  +1.928585e-05   	  +5.110523e-05


##### Dados Brutos Armazenados(V.s) [1e-12] #####

##### Volta_1#####	##### Volta_2#####	##### Volta_3#####	##### Volta_4#####	##### Volta_5#####	##### Volta_6#####	##### Volta_7#####	##### Volta_8#####	##### Volta_9#####	#### Volta_10#####
-3.6171440000e+06 	-4.1201220000e+06 	-4.2888820000e+06 	-3.3368590000e+06 	-3.7240260000e+06 	-3.8465060000e+06 	-3.8340790000e+06 	-3.5729140000e+06 	-3.1764740000e+06 	-3.6188790000e+06
-1.1162371000e+07 	-1.1173327000e+07 	-1.0972328000e+07 	-1.0898460000e+07 	-1.0922905000e+07 	-1.1368855000e+07 	-1.1084969000e+07 	-1.1382492000e+07 	-1.1166290000e+07 	-1.1057350000e+07
-1.8523378000e+07 	-1.8483054000e+07 	-1.8010892000e+07 	-1.9098076000e+07 	-1.9589764000e+07 	-1.8477380000e+07 	-1.8261354000e+07 	-1.8121930000e+07 	-1.8386080000e+07 	-1.9256608000e+07
-2.5740934000e+07 	-2.5356746000e+07 	-2.5877698000e+07 	-2.5866754000e+07 	-2.5236418000e+07 	-2.5666812000e+07 	-2.5557360000e+07 	-2.5826600000e+07 	-2.5928454000e+07 	-2.5866444000e+07
-3.3384998000e+07 	-3.3382202000e+07 	-3.3582568000e+07 	-3.2607928000e+07 	-3.3270430000e+07 	-3.2724436000e+07 	-3.3436278000e+07 	-3.2876350000e+07 	-3.2838772000e+07 	-3.3342614000e+07
-4.0021204000e+07 	-3.9922556000e+07 	-3.9692572000e+07 	-4.0347580000e+07 	-3.9697328000e+07 	-4.0202820000e+07 	-3.9901988000e+07 	-4.0822064000e+07 	-4.0631016000e+07 	-3.9391816000e+07
-4.6385992000e+07 	-4.7045992000e+07 	-4.6495092000e+07 	-4.6497248000e+07 	-4.6430012000e+07 	-4.6421380000e+07 	-4.6741060000e+07 	-4.6045392000e+07 	-4.6269020000e+07 	-4.6346656000e+07
-5.2364096000e+07 	-5.2579648000e+07 	-5.3072208000e+07 	-5.2534748000e+07 	-5.3111760000e+07 	-5.3328196000e+07 	-5.2918988000e+07 	-5.3010912000e+07 	-5.2423220000e+07 	-5.3115180000e+07
-5.8263764000e+07 	-5.8123308000e+07 	-5.7849084000e+07 	-5.8137224000e+07 	-5.8376748000e+07 	-5.8010732000e+07 	-5.7999636000e+07 	-5.7872708000e+07 	-5.8213508000e+07 	-5.8391764000e+07
-6.3584928000e+07 	-6.2993152000e+07 	-6.3307796000e+07 	-6.3315796000e+07 	-6.3246920000e+07 	-6.3268420000e+07 	-6.3170156000e+07 	-6.3037780000e+07 	-6.3272664000e+07 	-6.3273108000e+07
-6.8230328000e+07 	-6.8471208000e+07 	-6.8277936000e+07 	-6.8417432000e+07 	-6.8356752000e+07 	-6.8111864000e+07 	-6.8258376000e+07 	-6.8842528000e+07 	-6.8728696000e+07 	-6.8229904000e+07
-7.2736224000e+07 	-7.2737504000e+07 	-7.2707728000e+07 	-7.2648080000e+07 	-7.2311136000e+07 	-7.2586384000e+07 	-7.2886208000e+07 	-7.2516560000e+07 	-7.2285496000e+07 	-7.2271760000e+07
-7.5939664000e+07 	-7.6097448000e+07 	-7.6093384000e+07 	-7.6089832000e+07 	-7.6116168000e+07 	-7.6173576000e+07 	-7.6042552000e+07 	-7.5998256000e+07 	-7.6123632000e+07 	-7.6062528000e+07
-7.9465328000e+07 	-7.9719056000e+07 	-7.9697040000e+07 	-7.9463520000e+07 	-7.9771112000e+07 	-7.9665240000e+07 	-7.9534928000e+07 	-7.9740920000e+07 	-7.9563552000e+07 	-7.9494336000e+07
-8.2412960000e+07 	-8.2238752000e+07 	-8.2084200000e+07 	-8.2186304000e+07 	-8.2251808000e+07 	-8.2164816000e+07 	-8.2299904000e+07 	-8.2148752000e+07 	-8.2325968000e+07 	-8.2620648000e+07
-8.4429896000e+07 	-8.4371504000e+07 	-8.4458920000e+07 	-8.4431720000e+07 	-8.4526176000e+07 	-8.4462392000e+07 	-8.4411192000e+07 	-8.4446872000e+07 	-8.4454152000e+07 	-8.4311008000e+07
-8.6156920000e+07 	-8.6043424000e+07 	-8.6090152000e+07 	-8.6223096000e+07 	-8.5965256000e+07 	-8.6094864000e+07 	-8.6087920000e+07 	-8.6068400000e+07 	-8.6074296000e+07 	-8.6083808000e+07
-8.6384344000e+07 	-8.6410264000e+07 	-8.6411296000e+07 	-8.6367200000e+07 	-8.6415296000e+07 	-8.6413128000e+07 	-8.6415912000e+07 	-8.6408128000e+07 	-8.6415232000e+07 	-8.6372472000e+07
-8.6420936000e+07 	-8.6468592000e+07 	-8.6476992000e+07 	-8.6384200000e+07 	-8.6528440000e+07 	-8.6447504000e+07 	-8.6492864000e+07 	-8.6446912000e+07 	-8.6420616000e+07 	-8.6508720000e+07
-8.5915936000e+07 	-8.5783360000e+07 	-8.5815168000e+07 	-8.5915176000e+07 	-8.5815840000e+07 	-8.5782680000e+07 	-8.5832168000e+07 	-8.5824240000e+07 	-8.5890336000e+07 	-8.5858512000e+07
-8.4770824000e+07 	-8.4719000000e+07 	-8.4775848000e+07 	-8.4792312000e+07 	-8.4739824000e+07 	-8.4681936000e+07 	-8.4606928000e+07 	-8.4760712000e+07 	-8.4649312000e+07 	-8.4608896000e+07
-8.2153640000e+07 	-8.2418840000e+07 	-8.2281000000e+07 	-8.2242496000e+07 	-8.2135984000e+07 	-8.2339624000e+07 	-8.2377344000e+07 	-8.2362640000e+07 	-8.2329376000e+07 	-8.2162008000e+07
-7.9206736000e+07 	-7.9622616000e+07 	-7.9374120000e+07 	-7.9173376000e+07 	-7.9266456000e+07 	-7.9284928000e+07 	-7.9294848000e+07 	-7.9275352000e+07 	-7.9148856000e+07 	-7.9233080000e+07
-7.6047392000e+07 	-7.5848880000e+07 	-7.6059928000e+07 	-7.6139672000e+07 	-7.6274688000e+07 	-7.6436320000e+07 	-7.6214792000e+07 	-7.6132136000e+07 	-7.6233840000e+07 	-7.6400984000e+07
-7.2194496000e+07 	-7.1867512000e+07 	-7.2180584000e+07 	-7.1942424000e+07 	-7.2323736000e+07 	-7.1933120000e+07 	-7.2054216000e+07 	-7.2110688000e+07 	-7.2285416000e+07 	-7.2520848000e+07
