########## CURVA DE EXCITACAO - BOBINA GIRANTE ##########

### Dados de Configura��o ###
arquivo                        	C:\Users\labimas\Desktop\Q14-001\Bobina Principal e Auxiliar\50 A\Q14-001_Q_BOB_+0000A_161013_110821.dat
data                           	13/10/2016
hora                           	11:08:21
temperatura_ima(C)             	23.1
ganho_integrador               	100
nr_pontos_integracao           	144
velocidade(rps)                	1.0
aceleracao(rps^2)              	0.5
nr_coletas                     	25
nr_voltas                      	10
intervalo_analise              	6-23
sentido_de_rotacao             	Horario
corrente_alim_principal_avg(A)	+50
corrente_alim_principal_std(A)	+0.000000e+00
corrente_alim_secundaria_avg(A) -1.228466e-03
corrente_alim_secundaria_std(A) +2.924810e-05

### Dados da Bobina Girante ###
nome_bobina_girante            	Anel_Bobina_Radial_28-09-2016_Quadrupolo_Q20
tipo_bobina_girante            	Bobina Radial
tipo_medicao                   	N_Bucked
pulso_start_coleta             	329683
n_espiras_bobina_principal     	9
raio_interno_bobina_princip(m) 	0
raio_externo_bobina_princip(m) 	0.01296
n_espiras_bobina_bucked        	0
raio_interno_bobina_bucked(m)  	0
raio_externo_bobina_bucked(m)  	0

### Observa��es ###
observacoes                    	Q14-001; 0�; Centro; Bobina Principal: 50 A; Bobina Auxiliar: -10 a 10 A



##### Dados de Leitura #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angulo(rad)  	std_angulo(rad)  	avg_Nn/NnIma@12.0mm	std_Nn/NnIma@12.0mm	avg_Sn/NnIma@12.0mm	std_Sn/NnIma@12.0mm
1   	  +1.194043e-06   	  +1.023051e-06   	  -9.598867e-06   	  +1.290561e-06   	  +9.672848e-06   	  +1.340760e-06   	  +0.000000e+00   	  +0.000000e+00   	  +5.536443e-05   	  +4.743603e-05   	  -4.450726e-04   	  +5.983971e-05
2   	  +1.797247e+00   	  +6.069066e-05   	  -9.804005e-06   	  +8.533290e-05   	  +1.797247e+00   	  +6.069010e-05   	  -2.727769e-06   	  +2.252182e-05   	  +1.000000e+00   	  +3.376867e-05   	  -5.455012e-06   	  +4.747978e-05
3   	  +3.230646e-02   	  +5.833514e-03   	  +1.299890e-01   	  +7.418576e-03   	  +1.339434e-01   	  +7.700692e-03   	  +0.000000e+00   	  +0.000000e+00   	  +2.157063e-04   	  +3.894966e-05   	  +8.679206e-04   	  +4.953292e-05
4   	  +6.831421e-01   	  +3.343167e-01   	  +8.461813e-01   	  +5.855938e-01   	  +1.087523e+00   	  +5.833608e-01   	  +0.000000e+00   	  +0.000000e+00   	  +5.473507e-05   	  +2.678630e-05   	  +6.779819e-05   	  +4.691926e-05
5   	  +1.121586e+02   	  +1.788979e+01   	  +6.332238e+01   	  +4.097895e+01   	  +1.287993e+02   	  +2.818521e+01   	  +0.000000e+00   	  +0.000000e+00   	  +1.078372e-04   	  +1.720050e-05   	  +6.088260e-05   	  +3.940004e-05
6   	  -3.378003e+04   	  +2.597839e+03   	  +3.326938e+03   	  +3.133869e+03   	  +3.394347e+04   	  +2.464550e+03   	  +0.000000e+00   	  +0.000000e+00   	  -3.897420e-04   	  +2.997294e-05   	  +3.838503e-05   	  +3.615747e-05
7   	  +1.953396e+05   	  +9.366123e+04   	  +2.398482e+04   	  +3.440965e+05   	  +1.968066e+05   	  +1.256304e+05   	  +0.000000e+00   	  +0.000000e+00   	  +2.704511e-05   	  +1.296756e-05   	  +3.320740e-06   	  +4.764076e-05
8   	  -8.886230e+06   	  +1.204577e+07   	  +2.042186e+07   	  +2.525484e+07   	  +2.227145e+07   	  +1.394003e+07   	  +0.000000e+00   	  +0.000000e+00   	  -1.476377e-05   	  +2.001309e-05   	  +3.392931e-05   	  +4.195892e-05
9   	  -5.201661e+08   	  +1.314827e+09   	  -8.953818e+08   	  +1.402085e+09   	  +1.035510e+09   	  +8.215295e+08   	  +0.000000e+00   	  +0.000000e+00   	  -1.037058e-05   	  +2.621378e-05   	  -1.785127e-05   	  +2.795345e-05
10  	  +6.606155e+12   	  +1.234832e+11   	  -9.422275e+09   	  +1.247377e+11   	  +6.606161e+12   	  +1.231006e+11   	  +0.000000e+00   	  +0.000000e+00   	  +1.580487e-03   	  +2.954269e-05   	  -2.254228e-06   	  +2.984283e-05
11  	  +2.003773e+11   	  +7.403958e+12   	  -4.586400e+11   	  +1.487857e+13   	  +5.005015e+11   	  +7.565026e+12   	  +0.000000e+00   	  +0.000000e+00   	  +5.752704e-07   	  +2.125628e-05   	  -1.316726e-06   	  +4.271542e-05
12  	  +3.296984e+14   	  +1.097421e+15   	  -1.195319e+14   	  +1.023276e+15   	  +3.506978e+14   	  +7.089329e+14   	  +0.000000e+00   	  +0.000000e+00   	  +1.135851e-05   	  +3.780751e-05   	  -4.118019e-06   	  +3.525312e-05
13  	  +1.155268e+15   	  +7.148831e+16   	  +1.296907e+15   	  +8.112354e+16   	  +1.736840e+15   	  +4.592877e+16   	  +0.000000e+00   	  +0.000000e+00   	  +4.776049e-07   	  +2.955431e-05   	  +5.361603e-07   	  +3.353766e-05
14  	  -1.367913e+20   	  +4.963595e+18   	  -1.134776e+18   	  +6.135925e+18   	  +1.367961e+20   	  +4.988822e+18   	  +0.000000e+00   	  +0.000000e+00   	  -6.786186e-04   	  +2.462427e-05   	  -5.629595e-06   	  +3.044018e-05
15  	  +2.426964e+20   	  +5.338853e+20   	  -5.554928e+19   	  +7.214310e+20   	  +2.489724e+20   	  +3.756624e+20   	  +0.000000e+00   	  +0.000000e+00   	  +1.444813e-05   	  +3.178311e-05   	  -3.306944e-06   	  +4.294802e-05


##### Dados Brutos Armazenados(V.s) [1e-12] #####

##### Volta_1#####	##### Volta_2#####	##### Volta_3#####	##### Volta_4#####	##### Volta_5#####	##### Volta_6#####	##### Volta_7#####	##### Volta_8#####	##### Volta_9#####	#### Volta_10#####
-5.1903190000e+06 	-5.2457530000e+06 	-5.0834580000e+06 	-4.0558850000e+06 	-5.0419420000e+06 	-4.7222410000e+06 	-4.4493160000e+06 	-4.9936200000e+06 	-5.5810010000e+06 	-4.9549390000e+06
-1.5217560000e+07 	-1.5384630000e+07 	-1.5382097000e+07 	-1.5286530000e+07 	-1.5427687000e+07 	-1.5161085000e+07 	-1.5666259000e+07 	-1.5030377000e+07 	-1.5289758000e+07 	-1.6057166000e+07
-2.5536220000e+07 	-2.5357188000e+07 	-2.5042234000e+07 	-2.5558554000e+07 	-2.5531548000e+07 	-2.6234108000e+07 	-2.6011752000e+07 	-2.6260682000e+07 	-2.6067304000e+07 	-2.5184952000e+07
-3.5821644000e+07 	-3.5675728000e+07 	-3.5981584000e+07 	-3.6052400000e+07 	-3.5803964000e+07 	-3.5834612000e+07 	-3.5865884000e+07 	-3.5801196000e+07 	-3.5786392000e+07 	-3.5916436000e+07
-4.4863804000e+07 	-4.5436244000e+07 	-4.5194260000e+07 	-4.5786624000e+07 	-4.5724936000e+07 	-4.4628624000e+07 	-4.5057296000e+07 	-4.5194864000e+07 	-4.5082912000e+07 	-4.4736312000e+07
-5.5289656000e+07 	-5.4744292000e+07 	-5.5035408000e+07 	-5.4729984000e+07 	-5.4275440000e+07 	-5.4760016000e+07 	-5.4302404000e+07 	-5.4176976000e+07 	-5.4166124000e+07 	-5.4861452000e+07
-6.3470808000e+07 	-6.3776896000e+07 	-6.3831280000e+07 	-6.3397304000e+07 	-6.3564684000e+07 	-6.3702468000e+07 	-6.3591916000e+07 	-6.3753428000e+07 	-6.4158416000e+07 	-6.3475260000e+07
-7.2134464000e+07 	-7.2224920000e+07 	-7.1987032000e+07 	-7.1703752000e+07 	-7.2222568000e+07 	-7.2334472000e+07 	-7.2513032000e+07 	-7.2260160000e+07 	-7.2228032000e+07 	-7.2414464000e+07
-7.9929832000e+07 	-7.9572464000e+07 	-7.9389568000e+07 	-7.9797056000e+07 	-7.9970272000e+07 	-7.9864912000e+07 	-7.9741576000e+07 	-8.0068696000e+07 	-8.0086384000e+07 	-8.0056976000e+07
-8.6689080000e+07 	-8.6602504000e+07 	-8.6642448000e+07 	-8.6923736000e+07 	-8.6836280000e+07 	-8.7017200000e+07 	-8.7324696000e+07 	-8.6743456000e+07 	-8.6631032000e+07 	-8.6730520000e+07
-9.3480928000e+07 	-9.3866720000e+07 	-9.4090776000e+07 	-9.3956808000e+07 	-9.3876400000e+07 	-9.3302568000e+07 	-9.3283760000e+07 	-9.3754032000e+07 	-9.3696000000e+07 	-9.3305168000e+07
-9.9319504000e+07 	-9.9193928000e+07 	-9.9487328000e+07 	-9.9066504000e+07 	-9.8970456000e+07 	-9.9023088000e+07 	-9.9211072000e+07 	-9.8886632000e+07 	-9.8775072000e+07 	-9.9029352000e+07
-1.0428691200e+08 	-1.0414111200e+08 	-1.0372006400e+08 	-1.0412494400e+08 	-1.0391740800e+08 	-1.0399023200e+08 	-1.0385992800e+08 	-1.0403037600e+08 	-1.0409698400e+08 	-1.0421506400e+08
-1.0907883200e+08 	-1.0922198400e+08 	-1.0923932000e+08 	-1.0877486400e+08 	-1.0910730400e+08 	-1.0927921600e+08 	-1.0912848800e+08 	-1.0918445600e+08 	-1.0935302400e+08 	-1.0923576000e+08
-1.1242694400e+08 	-1.1251012800e+08 	-1.1247532800e+08 	-1.1266225600e+08 	-1.1273796000e+08 	-1.1260894400e+08 	-1.1285900800e+08 	-1.1279528000e+08 	-1.1273534400e+08 	-1.1272918400e+08
-1.1577244000e+08 	-1.1561527200e+08 	-1.1574356800e+08 	-1.1579981600e+08 	-1.1581419200e+08 	-1.1576194400e+08 	-1.1580254400e+08 	-1.1577236000e+08 	-1.1570863200e+08 	-1.1568426400e+08
-1.1782481600e+08 	-1.1787160800e+08 	-1.1778919200e+08 	-1.1797492000e+08 	-1.1791223200e+08 	-1.1782244800e+08 	-1.1773388800e+08 	-1.1772204000e+08 	-1.1782594400e+08 	-1.1776998400e+08
-1.1836015200e+08 	-1.1833860800e+08 	-1.1823814400e+08 	-1.1824971200e+08 	-1.1818169600e+08 	-1.1827448800e+08 	-1.1828040800e+08 	-1.1824434400e+08 	-1.1826448800e+08 	-1.1828701600e+08
-1.1835232000e+08 	-1.1838379200e+08 	-1.1838508000e+08 	-1.1836345600e+08 	-1.1837858400e+08 	-1.1842860000e+08 	-1.1845066400e+08 	-1.1842608800e+08 	-1.1841704800e+08 	-1.1843637600e+08
-1.1753802400e+08 	-1.1750826400e+08 	-1.1768942400e+08 	-1.1768728800e+08 	-1.1768208000e+08 	-1.1759861600e+08 	-1.1761134400e+08 	-1.1769247200e+08 	-1.1759728800e+08 	-1.1751486400e+08
-1.1607515200e+08 	-1.1597081600e+08 	-1.1601047200e+08 	-1.1589241600e+08 	-1.1592152000e+08 	-1.1579878400e+08 	-1.1598059200e+08 	-1.1589508800e+08 	-1.1588580800e+08 	-1.1587801600e+08
-1.1266759200e+08 	-1.1272772800e+08 	-1.1264718400e+08 	-1.1259212000e+08 	-1.1269419200e+08 	-1.1257104000e+08 	-1.1244993600e+08 	-1.1248286400e+08 	-1.1257052800e+08 	-1.1264789600e+08
-1.0835040800e+08 	-1.0848659200e+08 	-1.0838720000e+08 	-1.0857024000e+08 	-1.0820242400e+08 	-1.0847030400e+08 	-1.0831192000e+08 	-1.0844999200e+08 	-1.0860736000e+08 	-1.0848613600e+08
-1.0480425600e+08 	-1.0449042400e+08 	-1.0434607200e+08 	-1.0422434400e+08 	-1.0441390400e+08 	-1.0457176000e+08 	-1.0473001600e+08 	-1.0460254400e+08 	-1.0436326400e+08 	-1.0483377600e+08
-9.8657008000e+07 	-9.8847464000e+07 	-9.8933376000e+07 	-9.8917336000e+07 	-9.9318768000e+07 	-9.9300648000e+07 	-9.9330912000e+07 	-9.9269016000e+07 	-9.9144440000e+07 	-9.8648920000e+07
