########## CURVA DE EXCITACAO - BOBINA GIRANTE ##########

### Dados de Configura��o ###
arquivo                        	C:\Users\labimas\Desktop\Q14-001\Bobina Principal e Auxiliar\50 A\Q14-001_Q_BOB_-0005A_161013_110544.dat
data                           	13/10/2016
hora                           	11:05:44
temperatura_ima(C)             	23.1
ganho_integrador               	100
nr_pontos_integracao           	144
velocidade(rps)                	1.0
aceleracao(rps^2)              	0.5
nr_coletas                     	22
nr_voltas                      	10
intervalo_analise              	6-23
sentido_de_rotacao             	Horario
corrente_alim_principal_avg(A)	+50
corrente_alim_principal_std(A)	+0.000000e+00
corrente_alim_secundaria_avg(A) -5.012422e+00
corrente_alim_secundaria_std(A) +5.517976e-05

### Dados da Bobina Girante ###
nome_bobina_girante            	Anel_Bobina_Radial_28-09-2016_Quadrupolo_Q20
tipo_bobina_girante            	Bobina Radial
tipo_medicao                   	N_Bucked
pulso_start_coleta             	329683
n_espiras_bobina_principal     	9
raio_interno_bobina_princip(m) 	0
raio_externo_bobina_princip(m) 	0.01296
n_espiras_bobina_bucked        	0
raio_interno_bobina_bucked(m)  	0
raio_externo_bobina_bucked(m)  	0

### Observa��es ###
observacoes                    	Q14-001; 0�; Centro; Bobina Principal: 50 A; Bobina Auxiliar: -10 a 10 A



##### Dados de Leitura #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angulo(rad)  	std_angulo(rad)  	avg_Nn/NnIma@12.0mm	std_Nn/NnIma@12.0mm	avg_Sn/NnIma@12.0mm	std_Sn/NnIma@12.0mm
1   	  +1.178580e-06   	  +7.678755e-07   	  -7.686937e-06   	  +1.571365e-06   	  +7.776763e-06   	  +1.527871e-06   	  +0.000000e+00   	  +0.000000e+00   	  +6.326294e-05   	  +4.121745e-05   	  -4.126137e-04   	  +8.434658e-05
2   	  +1.552489e+00   	  +5.820543e-05   	  +5.619329e-05   	  +4.033429e-05   	  +1.552489e+00   	  +5.820487e-05   	  +1.809796e-05   	  +1.232386e-05   	  +1.000000e+00   	  +3.749170e-05   	  +3.619562e-05   	  +2.598041e-05
3   	  +2.930985e-02   	  +6.475213e-03   	  +1.150570e-01   	  +6.027103e-03   	  +1.187315e-01   	  +5.582181e-03   	  +0.000000e+00   	  +0.000000e+00   	  +2.265513e-04   	  +5.005032e-05   	  +8.893358e-04   	  +4.658665e-05
4   	  +7.151271e-01   	  +1.431198e-01   	  +8.779023e-01   	  +4.256875e-01   	  +1.132307e+00   	  +3.408418e-01   	  +0.000000e+00   	  +0.000000e+00   	  +6.633112e-05   	  +1.327498e-05   	  +8.142922e-05   	  +3.948435e-05
5   	  +8.473257e+01   	  +2.321815e+01   	  +5.695936e+01   	  +2.008617e+01   	  +1.020979e+02   	  +2.116691e+01   	  +0.000000e+00   	  +0.000000e+00   	  +9.431173e-05   	  +2.584300e-05   	  +6.339871e-05   	  +2.235695e-05
6   	  -2.746369e+04   	  +1.515071e+03   	  +3.212667e+03   	  +2.908536e+03   	  +2.765096e+04   	  +1.610294e+03   	  +0.000000e+00   	  +0.000000e+00   	  -3.668221e-04   	  +2.023623e-05   	  +4.291037e-05   	  +3.884821e-05
7   	  +2.258475e+05   	  +3.146761e+05   	  +1.150704e+05   	  +2.132788e+05   	  +2.534725e+05   	  +1.851975e+05   	  +0.000000e+00   	  +0.000000e+00   	  +3.619872e-05   	  +5.043611e-05   	  +1.844342e-05   	  +3.418421e-05
8   	  -2.485869e+06   	  +1.995325e+07   	  +1.571076e+07   	  +2.739382e+07   	  +1.590621e+07   	  +1.690599e+07   	  +0.000000e+00   	  +0.000000e+00   	  -4.781204e-06   	  +3.837715e-05   	  +3.021735e-05   	  +5.268799e-05
9   	  -2.019695e+08   	  +1.397630e+09   	  -6.754976e+08   	  +1.909173e+09   	  +7.050452e+08   	  +1.171861e+09   	  +0.000000e+00   	  +0.000000e+00   	  -4.661505e-06   	  +3.225763e-05   	  -1.559065e-05   	  +4.406417e-05
10  	  +5.707790e+12   	  +1.543605e+11   	  +1.024961e+10   	  +1.942605e+11   	  +5.707800e+12   	  +1.539080e+11   	  +0.000000e+00   	  +0.000000e+00   	  +1.580846e-03   	  +4.275212e-05   	  +2.838762e-06   	  +5.380295e-05
11  	  -2.666297e+12   	  +1.192625e+13   	  +5.621703e+12   	  +9.539398e+12   	  +6.221952e+12   	  +6.846305e+12   	  +0.000000e+00   	  +0.000000e+00   	  -8.861583e-06   	  +3.963755e-05   	  +1.868404e-05   	  +3.170471e-05
12  	  +3.084495e+14   	  +1.162884e+15   	  +4.047686e+14   	  +5.511107e+14   	  +5.088995e+14   	  +8.183993e+14   	  +0.000000e+00   	  +0.000000e+00   	  +1.230178e-05   	  +4.637891e-05   	  +1.614325e-05   	  +2.197976e-05
13  	  +5.390166e+16   	  +9.711407e+16   	  +1.326201e+15   	  +8.533687e+16   	  +5.391797e+16   	  +5.478016e+16   	  +0.000000e+00   	  +0.000000e+00   	  +2.579690e-05   	  +4.647800e-05   	  +6.347089e-07   	  +4.084153e-05
14  	  -1.183186e+20   	  +7.886833e+18   	  +2.388081e+18   	  +7.628276e+18   	  +1.183427e+20   	  +8.066830e+18   	  +0.000000e+00   	  +0.000000e+00   	  -6.795157e-04   	  +4.529489e-05   	  +1.371500e-05   	  +4.380997e-05
15  	  -2.508144e+20   	  +4.258623e+20   	  +3.498713e+20   	  +5.078479e+20   	  +4.304855e+20   	  +4.235446e+20   	  +0.000000e+00   	  +0.000000e+00   	  -1.728543e-05   	  +2.934925e-05   	  +2.411216e-05   	  +3.499947e-05


##### Dados Brutos Armazenados(V.s) [1e-12] #####

##### Volta_1#####	##### Volta_2#####	##### Volta_3#####	##### Volta_4#####	##### Volta_5#####	##### Volta_6#####	##### Volta_7#####	##### Volta_8#####	##### Volta_9#####	#### Volta_10#####
-4.8756680000e+06 	-4.6269110000e+06 	-5.3601720000e+06 	-4.4397840000e+06 	-4.0190190000e+06 	-4.3840420000e+06 	-4.3937120000e+06 	-4.0916280000e+06 	-3.8396720000e+06 	-4.1523160000e+06
-1.3144416000e+07 	-1.3448445000e+07 	-1.2552578000e+07 	-1.3012216000e+07 	-1.3096321000e+07 	-1.2842445000e+07 	-1.3098066000e+07 	-1.2686323000e+07 	-1.3353938000e+07 	-1.3278179000e+07
-2.2360372000e+07 	-2.2083740000e+07 	-2.1743846000e+07 	-2.1913918000e+07 	-2.2427454000e+07 	-2.2624162000e+07 	-2.1589020000e+07 	-2.2019846000e+07 	-2.2205462000e+07 	-2.2670994000e+07
-3.0017418000e+07 	-3.0192010000e+07 	-3.0627250000e+07 	-3.0441526000e+07 	-3.0311602000e+07 	-3.0655472000e+07 	-3.0555856000e+07 	-3.0981848000e+07 	-3.1165940000e+07 	-3.0765382000e+07
-3.8941132000e+07 	-3.8956764000e+07 	-3.9117132000e+07 	-3.9835240000e+07 	-3.8749000000e+07 	-3.9208012000e+07 	-3.9628184000e+07 	-3.9047388000e+07 	-3.8844520000e+07 	-3.9122056000e+07
-4.7507512000e+07 	-4.7435608000e+07 	-4.7532020000e+07 	-4.7343336000e+07 	-4.7596372000e+07 	-4.7169996000e+07 	-4.7470720000e+07 	-4.7693224000e+07 	-4.7483908000e+07 	-4.7137956000e+07
-5.4923992000e+07 	-5.5307144000e+07 	-5.5191628000e+07 	-5.4830608000e+07 	-5.5074896000e+07 	-5.4936344000e+07 	-5.4631964000e+07 	-5.4731912000e+07 	-5.4521572000e+07 	-5.4270560000e+07
-6.2627276000e+07 	-6.2113296000e+07 	-6.2232388000e+07 	-6.2392300000e+07 	-6.2431856000e+07 	-6.2274156000e+07 	-6.2452252000e+07 	-6.2154976000e+07 	-6.2124416000e+07 	-6.2505136000e+07
-6.8969216000e+07 	-6.9191352000e+07 	-6.8658696000e+07 	-6.8500000000e+07 	-6.8824568000e+07 	-6.8702840000e+07 	-6.9162928000e+07 	-6.8646280000e+07 	-6.9098472000e+07 	-6.9227432000e+07
-7.4892744000e+07 	-7.4622376000e+07 	-7.4733208000e+07 	-7.4963768000e+07 	-7.4861968000e+07 	-7.5307304000e+07 	-7.4469088000e+07 	-7.4732408000e+07 	-7.5139448000e+07 	-7.4831776000e+07
-8.0614088000e+07 	-8.0558928000e+07 	-8.0937968000e+07 	-8.0882792000e+07 	-8.0871592000e+07 	-8.0752296000e+07 	-8.0885504000e+07 	-8.1124088000e+07 	-8.1124712000e+07 	-8.1160016000e+07
-8.5187736000e+07 	-8.5700568000e+07 	-8.5636952000e+07 	-8.5689008000e+07 	-8.5569464000e+07 	-8.5734512000e+07 	-8.5604808000e+07 	-8.6053912000e+07 	-8.5584528000e+07 	-8.5493792000e+07
-9.0417792000e+07 	-8.9961472000e+07 	-9.0111472000e+07 	-8.9941824000e+07 	-8.9799192000e+07 	-8.9718016000e+07 	-9.0114688000e+07 	-8.9602312000e+07 	-8.9664456000e+07 	-8.9688592000e+07
-9.4039168000e+07 	-9.4200272000e+07 	-9.4095792000e+07 	-9.4300536000e+07 	-9.4189488000e+07 	-9.4194784000e+07 	-9.4246536000e+07 	-9.4023344000e+07 	-9.3994472000e+07 	-9.4078720000e+07
-9.7328784000e+07 	-9.7334072000e+07 	-9.7216096000e+07 	-9.7185728000e+07 	-9.7244352000e+07 	-9.7246352000e+07 	-9.7148320000e+07 	-9.7349904000e+07 	-9.7336016000e+07 	-9.7318016000e+07
-9.9918960000e+07 	-9.9953168000e+07 	-9.9726920000e+07 	-9.9854368000e+07 	-9.9856568000e+07 	-9.9988792000e+07 	-9.9965432000e+07 	-9.9838008000e+07 	-9.9979648000e+07 	-1.0002748000e+08
-1.0169678400e+08 	-1.0164105600e+08 	-1.0183891200e+08 	-1.0176549600e+08 	-1.0183904800e+08 	-1.0168582400e+08 	-1.0163542400e+08 	-1.0172328800e+08 	-1.0175660800e+08 	-1.0170244800e+08
-1.0209061600e+08 	-1.0214213600e+08 	-1.0217313600e+08 	-1.0214240800e+08 	-1.0210404800e+08 	-1.0218948000e+08 	-1.0221863200e+08 	-1.0217648800e+08 	-1.0206053600e+08 	-1.0213473600e+08
-1.0221962400e+08 	-1.0229125600e+08 	-1.0221741600e+08 	-1.0220204000e+08 	-1.0217415200e+08 	-1.0217960800e+08 	-1.0224145600e+08 	-1.0224631200e+08 	-1.0226614400e+08 	-1.0217258400e+08
-1.0150812000e+08 	-1.0145991200e+08 	-1.0139708000e+08 	-1.0152656000e+08 	-1.0151533600e+08 	-1.0162980800e+08 	-1.0150120000e+08 	-1.0146476800e+08 	-1.0151464800e+08 	-1.0158511200e+08
-1.0011908800e+08 	-1.0017028800e+08 	-1.0017694400e+08 	-1.0007492000e+08 	-1.0008082400e+08 	-1.0018532000e+08 	-1.0009253600e+08 	-1.0022734400e+08 	-1.0013468000e+08 	-1.0018936000e+08
-9.7115832000e+07 	-9.7096272000e+07 	-9.7164424000e+07 	-9.7224760000e+07 	-9.7353704000e+07 	-9.7253272000e+07 	-9.7177920000e+07 	-9.7058192000e+07 	-9.7273232000e+07 	-9.7238752000e+07
-9.3678128000e+07 	-9.3726880000e+07 	-9.3884000000e+07 	-9.3784592000e+07 	-9.3354176000e+07 	-9.3426936000e+07 	-9.3458984000e+07 	-9.3529800000e+07 	-9.3475280000e+07 	-9.3502944000e+07
-9.0301432000e+07 	-9.0158648000e+07 	-9.0196640000e+07 	-9.0197064000e+07 	-9.0218640000e+07 	-9.0087240000e+07 	-9.0483552000e+07 	-9.0356408000e+07 	-9.0310472000e+07 	-9.0075592000e+07
-8.5548000000e+07 	-8.5586992000e+07 	-8.5337504000e+07 	-8.5468408000e+07 	-8.5325640000e+07 	-8.5232064000e+07 	-8.5358448000e+07 	-8.5532384000e+07 	-8.5283816000e+07 	-8.5581048000e+07
