# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] 
+0.0000000000000000e+00 +3.7210209197854901e+01 -2.6855804111544616e+06 +1.6970916853856544e+14 -2.9750489610556235e+21 
+1.0000000000000001e-01 +3.7210209002708417e+01 -2.6854538442341969e+06 +1.6969215668490819e+14 -2.9744519748500151e+21 
+2.0000000000000001e-01 +3.7210208438696647e+01 -2.6851000358156464e+06 +1.6964434143049250e+14 -2.9727676061464008e+21 
+3.0000000000000004e-01 +3.7210207537959640e+01 -2.6845578236288629e+06 +1.6957055314982284e+14 -2.9701557373119648e+21 
+4.0000000000000002e-01 +3.7210206332640723e+01 -2.6838660471374798e+06 +1.6947562240513478e+14 -2.9667762561792286e+21 
+5.0000000000000000e-01 +3.7210204854879152e+01 -2.6830635435261242e+06 +1.6936437950349622e+14 -2.9627890430037632e+21 
+6.0000000000000009e-01 +3.7210203136816553e+01 -2.6821891515165777e+06 +1.6924165493629744e+14 -2.9583539837260325e+21 
+7.0000000000000007e-01 +3.7210201210594406e+01 -2.6812817094043214e+06 +1.6911227912888847e+14 -2.9536309620106257e+21 
+8.0000000000000004e-01 +3.7210199108353564e+01 -2.6803800554232989e+06 +1.6898108251332331e+14 -2.9487798619502527e+21 
+9.0000000000000002e-01 +3.7210196862234682e+01 -2.6795230275066327e+06 +1.6885289548123144e+14 -2.9439605663349735e+21 
+1.0000000000000000e+00 +3.7210194504380837e+01 -2.6787494651592080e+06 +1.6873254860602719e+14 -2.9393329634289532e+21 
+1.1000000000000001e+00 +3.7210192066840058e+01 -2.6780958484877492e+06 +1.6862487898401822e+14 -2.9350642627490239e+21 
+1.2000000000000002e+00 +3.7210189581297833e+01 -2.6775892309939200e+06 +1.6853475106168216e+14 -2.9313509965859772e+21 
+1.3000000000000000e+00 +3.7210187079348451e+01 -2.6772543091030829e+06 +1.6846703606927794e+14 -2.9283970262144008e+21 
+1.4000000000000001e+00 +3.7210184592586224e+01 -2.6771157793042623e+06 +1.6842660525110044e+14 -2.9264062134586447e+21 
+1.5000000000000000e+00 +3.7210182152605185e+01 -2.6771983379810774e+06 +1.6841832983803369e+14 -2.9255824197025357e+21 
+1.6000000000000001e+00 +3.7210179790999128e+01 -2.6775266812213520e+06 +1.6844708102128675e+14 -2.9261295050480833e+21 
+1.7000000000000002e+00 +3.7210177539361581e+01 -2.6781255050136014e+06 +1.6851772998459550e+14 -2.9282513294427391e+21 
+1.8000000000000000e+00 +3.7210175429288334e+01 -2.6790195068985946e+06 +1.6863514809826803e+14 -2.9321517585813885e+21 
+1.9000000000000001e+00 +3.7210173492373414e+01 -2.6802333830879959e+06 +1.6880420656615894e+14 -2.9380346529175605e+21 
+2.0000000000000000e+00 +3.7210171760209136e+01 -2.6817918288075267e+06 +1.6902977648246403e+14 -2.9461038696629608e+21 
+2.1000000000000001e+00 +3.7210170235540829e+01 -2.6836939407480950e+06 +1.6931248244107294e+14 -2.9563983561542609e+21 
+2.2000000000000002e+00 +3.7210168805717466e+01 -2.6858364161298294e+06 +1.6963596240688788e+14 -2.9682974009923564e+21 
+2.3000000000000003e+00 +3.7210167329236384e+01 -2.6880903505882556e+06 +1.6997960748103341e+14 -2.9810153717303277e+21 
+2.4000000000000004e+00 +3.7210165664598101e+01 -2.6903268417814956e+06 +1.7032280900726806e+14 -2.9937666434205698e+21 
+2.5000000000000000e+00 +3.7210163670300282e+01 -2.6924169856416495e+06 +1.7064495812366012e+14 -3.0057655847591839e+21 
+2.6000000000000001e+00 +3.7210161204841746e+01 -2.6942318786850683e+06 +1.7092544603550203e+14 -3.0162265665044889e+21 
+2.7000000000000002e+00 +3.7210158126721275e+01 -2.6956426175778592e+06 +1.7114366397095862e+14 -3.0243639601811738e+21 
+2.8000000000000003e+00 +3.7210154294436421e+01 -2.6965202981530786e+06 +1.7127900305933131e+14 -3.0293921342851593e+21 
+2.9000000000000004e+00 +3.7210149566488369e+01 -2.6967360183760361e+06 +1.7131085467102519e+14 -3.0305254645128894e+21 
+3.0000000000000000e+00 +3.7210143801374237e+01 -2.6961608739870880e+06 +1.7121860993236938e+14 -3.0269783193985331e+21 
+3.1000000000000001e+00 +3.7210136916065530e+01 -2.6947199141155337e+06 +1.7099021500620391e+14 -3.0182894299897098e+21 
+3.2000000000000002e+00 +3.7210129061424965e+01 -2.6925539995884364e+06 +1.7064783608882416e+14 -3.0052949757036708e+21 
+3.3000000000000003e+00 +3.7210120446788380e+01 -2.6898579439860624e+06 +1.7022219434364984e+14 -2.9891554964310028e+21 
