# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] 
+0.0000000000000000e+00 +4.0620068219362530e+01 -2.9291778233616240e+06 +1.8512315010593528e+14 -3.2448041627706642e+21 
+1.0000000000000001e-01 +4.0620067977046332e+01 -2.9290315249892040e+06 +1.8510428055271859e+14 -3.2441521802259601e+21 
+2.0000000000000001e-01 +4.0620067278536752e+01 -2.9286227470577224e+06 +1.8505121279281266e+14 -3.2423109632908009e+21 
+3.0000000000000004e-01 +4.0620066166494659e+01 -2.9279966670133849e+06 +1.8496925837795641e+14 -3.2394526142658726e+21 
+4.0000000000000002e-01 +4.0620064683578242e+01 -2.9271984606429185e+06 +1.8486372866666431e+14 -3.2357492295871806e+21 
+5.0000000000000000e-01 +4.0620062872449012e+01 -2.9262733057556762e+06 +1.8473993525087716e+14 -3.2313729127406743e+21 
+6.0000000000000009e-01 +4.0620060775765097e+01 -2.9252663780237217e+06 +1.8460318947147075e+14 -3.2264957595414472e+21 
+7.0000000000000007e-01 +4.0620058436186639e+01 -2.9242228544294918e+06 +1.8445880282746488e+14 -3.2212898707327895e+21 
+8.0000000000000004e-01 +4.0620055896373039e+01 -2.9231879115003045e+06 +1.8431208676275644e+14 -3.2159273453225074e+21 
+9.0000000000000002e-01 +4.0620053198985396e+01 -2.9222067267916752e+06 +1.8416835283804934e+14 -3.2105802858072947e+21 
+1.0000000000000000e+00 +4.0620050386680560e+01 -2.9213244751989334e+06 +1.8403291230762828e+14 -3.2054207854694053e+21 
+1.1000000000000001e+00 +4.0620047499591841e+01 -2.9205833077996005e+06 +1.8391112156552534e+14 -3.2006310736867723e+21 
+1.2000000000000002e+00 +4.0620044567727206e+01 -2.9200132608841676e+06 +1.8380851529066144e+14 -3.1964338552722770e+21 
+1.3000000000000000e+00 +4.0620041618571285e+01 -2.9196413470153590e+06 +1.8373067331415922e+14 -3.1930619715580671e+21 
+1.4000000000000001e+00 +4.0620038679601620e+01 -2.9194945743791973e+06 +1.8368317495796400e+14 -3.1907482484402590e+21 
+1.5000000000000000e+00 +4.0620035778303333e+01 -2.9195999558279230e+06 +1.8367160008708778e+14 -3.1897255282946626e+21 
+1.6000000000000001e+00 +4.0620032942156485e+01 -2.9199845010321285e+06 +1.8370152819123225e+14 -3.1902266420096538e+21 
+1.7000000000000002e+00 +4.0620030198641295e+01 -2.9206752199163171e+06 +1.8377853880055631e+14 -3.1924844219126335e+21 
+1.8000000000000000e+00 +4.0620027575239668e+01 -2.9216991232072944e+06 +1.8390821152374475e+14 -3.1967317024268532e+21 
+1.9000000000000001e+00 +4.0620025099434663e+01 -2.9230832226873515e+06 +1.8409612610962694e+14 -3.2032013225484558e+21 
+2.0000000000000000e+00 +4.0620022798705449e+01 -2.9248545273673506e+06 +1.8434786197075769e+14 -3.2121261108374866e+21 
+2.1000000000000001e+00 +4.0620020670682635e+01 -2.9270114957744991e+06 +1.8466422753469425e+14 -3.2235543980015165e+21 
+2.2000000000000002e+00 +4.0620018593585797e+01 -2.9294383732532733e+06 +1.8502694596587212e+14 -3.2367964830459227e+21 
+2.3000000000000003e+00 +4.0620016415781024e+01 -2.9319908515006648e+06 +1.8541296907846419e+14 -3.2509781561379384e+21 
+2.4000000000000004e+00 +4.0620013985637826e+01 -2.9345246241789190e+06 +1.8579924890261031e+14 -3.2652252137337169e+21 
+2.5000000000000000e+00 +4.0620011151520494e+01 -2.9368953818225833e+06 +1.8616273711360406e+14 -3.2786634417142324e+21 
+2.6000000000000001e+00 +4.0620007761798320e+01 -2.9389588180408906e+06 +1.8648038574489050e+14 -3.2904186368354938e+21 
+2.7000000000000002e+00 +4.0620003664838819e+01 -2.9405706252972051e+06 +1.8672914668781253e+14 -3.2996165913518963e+21 
